Date,Target Name,Target Tags,Target Description,Revenue,Revenue Year,Sector,Buyers,Sellers,Valorisation,Operation Type,Transaction Amount
02 déc. 2024,ION-X,"France |, Île-de-France",Développement  d'un nouveau type de propulsion électrique basésur ElectroHydroDynamics (EHD) et destiné à des satellites de petites tailles,,N/A,"Automobile, aérospatial, construction navale","TECHNOFOUNDERS, AUDACIA, EXPANSION VENTURES, EUROPEAN INNOVATION COU..., INNOVACOM, REGION ILE DE FRANCE",n/a,20-50 M€,1er tour,N/A
02 déc. 2024,CONSOLIS,"France |, Île-de-France",Construction de produits en béton préfabriqués,1,2023,"Immobilier & construction, bâtiment",CRÉANCIER(S),BAIN CAPITAL,n.d.,Retournement,N/A
02 déc. 2024,SEGEP FINANCE,"France |, Grand Est",Conseil en gestion du patrimoine,,N/A,N/A,"RHETORES FINANCE, ACTIVA CAPITAL",FONDATEUR(S),0-5 M€,Build-up,0-5
02 déc. 2024,COPENHAGEN OPTIMIZATION,"Danemark |, Etranger",Éditeur de logiciel Saas de gestion des aéroports visant à optimiser leurs opérations et les flux de passagers et de bagages,10,2023,Logiciel et services informatiques,INFRAVIA GROWTH EQUITY,"BUSINESS ANGEL(S)
                    
                                                ,                                                            
                                                                        FONDATEUR(S)",50-150 M€,Augmentation de capital,20-50
02 déc. 2024,GROUPE BEAUMONT-GUEZ,"France |, Pays de la Loire",Services funéraires,9,2023,Services & Biens de consommation,"FUNECAP, LATOUR CAPITAL, CHARTERHOUSE, OPHILIAM GROUPE, CREDIT MUTUEL ARKEA (GR..., ESSLING CAPITAL","CAPITAL CROISSANCE
                                                    
                            ,                                                            
                                                                        MANAGER(S)",20-50 M€,Build-up,20-50
02 déc. 2024,ACTIFS GROUPE DRAGON,"France |, Auvergne-Rhône-Alpes",É-commerce de pièces détachées pour l’électroménager et l’audiovisuel,14,2023,"Internet & ecommerce, eservices","ECOPARTS, STARQUEST, QUADIA, ETF PARTNERS (ENVIRONME..., SWEN CAPITAL PARTNERS, AMUNDI PRIVATE EQUITY F..., TROCADERO CAPITAL PARTNERS",n.d.,0-5 M€,Retournement,n.d.
02 déc. 2024,BUFFET CRAMPON,"France |, Île-de-France",Fabricant d'instruments à vent,110,2023,Services & Biens de consommation,ALCOPA,"TRAIL (TRAIL CAPITAL)
                                                    
                            ,                                                            
                                
                                                                                                                    PATRIMOINE & CREATION
                                                    
                            ,                                                            
                                
                                                                                                                    COGEPA
                                                    
                            ,                                                            
                                
                                                                                                                    BNP PARIBAS DEVELOPPEMENT",150-250 M€,LBO Primaire,n.d.
02 déc. 2024,VIC GMBH (VERKEHRS- UND INGENIEUR...,"Allemagne |, Etranger","Services d'ingénierie (inspection, diagnostic et maintenance) d’infrastructures de transport en vue notamment d’augmenter leur durée de vie",,N/A,Services & Conseil aux entreprises,"INFRANEO, SEVEN2 (EX APAX PARTNERS)",MANAGER(S),0-20 M€,Build-up international,0-20
30 nov. 2024,STELLO,"France |, Île-de-France",Courtier d'assurance en ligne pour les TPE et travailleurs indépendants,,N/A,N/A,"ODEALIM, TA ASSOCIATES, SIMPLIS","FONDATEUR(S)
                    
                                                ,                                                            
                                
                                                                                                                    SOCIETE CENTRALE PREVOI...",0-20 M€,Build-up,n.d.
30 nov. 2024,BIO HABITAT,"France |, Pays de la Loire","Fabrication de mobil-homes pour le secteur de l’hôtellerie de plein air (incluant les marques O'HARA, IRM et COCO SWEET)",320,2023,Produits & Services industriels,GROUPE TRIGANO,BENETEAU,250-500 M€,M&A Corporate,250-500
30 nov. 2024,ACTIVITÉS KISSKISSBANKBANK,"France |, Île-de-France",Activités KissKissBankBank.com : Fintech : plateforme de crowdfunding.,12,2023,"Internet & ecommerce, eservices",ULULE,"ACTIVITE CROWDFUNDING D...
                                                    
                            ,                                                            
                                
                                                                                                                    GROUPE LA BANQUE POSTALE
                                                    
                            ,                                                            
                                                                        MANAGER(S)",0-20 M€,Carve-out,0-20
29 nov. 2024,MY-SERIOUS-GAME,"France |, Centre-Val de Loire",Formation numérique sur mesure,2,2023,"Internet & ecommerce, eservices",MAINBOT,"FONDATEUR(S)
                    
                                                ,                                                            
                                
                                                                                                                    A PLUS FINANCE
                                                    
                            ,                                                            
                                
                                                                                                                    GALIA GESTION
                                                    
                            ,                                                            
                                
                                                                                                                    GO CAPITAL",0-20 M€,Retournement,0-20
29 nov. 2024,TERANGA SOFTWARE,"France |, Île-de-France",Logiciels à destination des EPHAD,25,2024,Logiciel et services informatiques,"ORISHA, FRANCISCO PARTNERS, TA ASSOCIATES","EXTENS
                                                    
                            ,                                                            
                                
                                                                                                                    BPIFRANCE INVESTISSEMENT
                                                    
                            ,                                                            
                                                                        FONDATEUR(S)
                    
                                                ,                                                            
                                                                        MANAGER(S)",150-250 M€,Build-up,150-250
29 nov. 2024,QUIET-OCEANS,"France |, Bretagne","Spécialiste de l’acoustique sous-marine développant des solutions de surveillance, prévision et atténuation de la pollution sonore des océans à destination des constructeurs de parc éoliens de de génie civil",,N/A,Environnement & CleanTechs,"GROUPE CLS, CNP (COMPAGNIE NATIONAL..., CNES","FONDATEUR(S)
                    
                                                ,                                                            
                                                                        ACTIONNAIRES HISTORIQUES",0-20 M€,Build-up,0-20
29 nov. 2024,DECLEOR,"France |, Île-de-France",Aromathérapie et huiles essentielles,,N/A,"Santé, beauté et services associés",COSPAL,L'OREAL,0-20 M€,Carve-out,0-20
29 nov. 2024,BENEFICIO FACIL,"Brésil |, Etranger",Avantages liés à la mobilité des salariés,,N/A,Services & Conseil aux entreprises,PLUXEE,n.d.,n.d.,M&A (Int'l),n.d.
29 nov. 2024,ORIENT'HAL MARKET,"France |, Pays de la Loire",Distribution de produits carnés Halal,20,2024,N/A,,FONDATEUR(S),10-15 M€,MBO,10-15
29 nov. 2024,PATHWAY,"France |, Île-de-France","Moteur analytique Saas B2B, basé sur l’intelligence artificielle, pour les données des objets en mouvement",5.80,2023,Logiciel et services informatiques,"TQ VENTURES, KADMOS CAPITAL, INOVO VENTURE PARTNERS, MARKET ONE CAPITAL (MOC), ID4 VENTURES",n/a,20-50 M€,1er tour,N/A
29 nov. 2024,BISCABOIS,"France |, Nouvelle-Aquitaine",Concepteur-fabricant de terrasses en bois pour mobil-homes et d’aménagements extérieurs pour l’hôtellerie de plein air,20,2024,"Immobilier & construction, bâtiment",TROCADERO CAPITAL PARTNERS,"FONDATEUR(S)
                    
                                                ,                                                            
                                                                        MANAGER(S)",20-50 M€,MBO,20-50
29 nov. 2024,FAIRWAYS GARANTIES,"France |, Île-de-France",Solution logicielle de gestion des cautions et garanties pour les entreprises et les institutions financières (activité développée en interne par France Active),,N/A,Logiciel et services informatiques,"DIAPASON, PSG EQUITY","FINANCE ACTIVE
                                                    
                            ,                                                            
                                
                                                                                                                    ALTUS GROUP",0-5 M€,Carve-out,0-5
29 nov. 2024,KAPSERA,"France |, Île-de-France",Deeptech développant une technologie de microencapsulation des principes actifs naturels pour les milieux agricole et agro-alimentaire,,N/A,N/A,"BANQUE DES TERRITOIRES, THE YIELD LAB, DEMETER",n/a,0-20 M€,1er tour,N/A
29 nov. 2024,MONEY FLOW,"France |, Pays de la Loire",Recouvrement de créances amiables et judiciaires,0.84,2023,N/A,IN EXTENSO,n.d.,0-5 M€,M&A Corporate,0-5
29 nov. 2024,OMNIDOC,"France |, Île-de-France",Solution de téléexpertise à destination des médecins libéraux et des établissements de santé,2,2023,Logiciel et services informatiques,"ALVEN, KURMA PARTNERS, NEWFUND",n/a,20-50 M€,1er tour,N/A
29 nov. 2024,PAM BUILDING,"France |, Grand Est","Conception, fabrication et commercialisation de systèmes en fonte destinés aux évacuations sanitaires et pluviales du bâtiment",110,2023,"Immobilier & construction, bâtiment","ALDEBARAN CAPITAL PARTNERS, BPIFRANCE INVESTISSEMENT",SAINT-GOBAIN,50-150 M€,Spin Off,n.d.
28 nov. 2024,RADIOLOGIE PARIS OUEST (RPO),"France |, Île-de-France",Groupe d'imagerie médicale (réseau de centres de radiologie générale et spécialisée),20,2023,"Santé, beauté et services associés","CENTRE IMAGERIE MEDICAL..., ANDERA ACTO (EX ACTOMEZZ )","AZULIS CAPITAL
                                                    
                            ,                                                            
                                                                        MANAGER(S)",50-150 M€,Build-up,20-50
28 nov. 2024,SMARTVISER,"France |, Bretagne",Solutions d’évaluation de la performance des systèmes de télécommunication,2,2023,Logiciel et services informatiques,ANRITSU CORPORATION,FONDATEUR(S),0-20 M€,M&A (Int'l),n.d.
28 nov. 2024,ABALON CONSULTING,"France |, Île-de-France",Société de conseil spécialisée dans l'accompagnement des entreprises pour l'adoption et l'optimisation de l'écosystème Microsoft 365 et de la Power Platform,5,2024,Logiciel et services informatiques,"AEROW, ABENEX",FONDATEUR(S),0-20 M€,Build-up,0-20
28 nov. 2024,GROUPE PERFORMER,"France |, Auvergne-Rhône-Alpes",Distributeur de machines-outils à commande numérique,52,2024,Produits & Services industriels,,"ACTIONNAIRES HISTORIQUES
                    
                                                ,                                                            
                                                                        MANAGER(S)",n.d.,Refinancement,N/A
28 nov. 2024,LA MAISON DE LA NOISETTE,"France |, Nouvelle-Aquitaine","Musée dédié à la noisette, commercialisation de produits transformés à base de noisette pour professionnels et revendeurs, location de salles pour réunions et séminaires",,N/A,N/A,,ACTIONNAIRES FAMILIAUX,0-5 M€,M&A Corporate,0-5
28 nov. 2024,AMERIGO GROUP,"France |, Île-de-France",Négociant de pièces automobiles auprès des distributeurs de pièces détachées,90,2024,"Automobile, aérospatial, construction navale","SOCIETE GENERALE CAPITA..., BNP PARIBAS DEVELOPPEMENT, BPIFRANCE INVESTISSEMENT, SOCADIF","MANAGER(S)
                    
                                                ,                                                            
                                
                                                                                                                    TROCADERO CAPITAL PARTNERS
                                                    
                            ,                                                            
                                
                                                                                                                    AFRICINVEST EUROPE
                                                    
                            ,                                                            
                                
                                                                                                                    BPIFRANCE INVESTISSEMENT
                                                    
                            ,                                                            
                                                                        ACTIONNAIRES HISTORIQUES",20-50 M€,MBO Bis,0-20
28 nov. 2024,TMC,"Pays-Bas |, Etranger",Cabinet de conseil en technologie et en R&D,275,2024,Services & Conseil aux entreprises,"APHEON (EX ERGON CAPITAL), MML CAPITAL PARTNERS","APHEON (EX ERGON CAPITAL)
                                                    
                            ,                                                            
                                                                        MANAGER(S)",n.d.,Cession secondaire,n.d.
28 nov. 2024,HAUDECOEUR,"France |, Île-de-France","Importateur et distributeur de produits d'épicerie orientaux et africains (dont marques Samia, Riz du Monde ou encore Palais Imperial)",280,2024,N/A,"APHEON (EX ERGON CAPITAL), GROUPE LFPI","APHEON (EX ERGON CAPITAL)
                                                    
                            ,                                                            
                                                                        MANAGER(S)
                    
                                                ,                                                            
                                                                        ACTIONNAIRES FAMILIAUX",440 M€,Cession secondaire,n.d.
28 nov. 2024,BIZKOR,"France |, Nouvelle-Aquitaine",Agence de conseil et d'intégration spécialisée dans les solutions CRM Salesforce.,2,2024,Logiciel et services informatiques,"AEROW, ABENEX",FONDATEUR(S),0-20 M€,Build-up,0-20
27 nov. 2024,NATURE ET RESIDENCE LOISIRS,"France |, Nouvelle-Aquitaine","Hôtellerie de Plein Air, constitué de 7 campings de catégories 3, 4 et 5 étoiles principalement situés sur la façade Atlantique.",,N/A,"Tourisme, hôtellerie/restauration, loisirs","123 IM, SODERO (EX SODERO GESTION)",FONDATEUR(S),20-50 M€,Augmentation de capital,N/A
27 nov. 2024,E-PORT ELEKTROTECHNIK,"Autriche |, Etranger","Spécialiste des systèmes photovoltaïques, installations électriques et construction d'armoires électriques sur mesure.",,N/A,N/A,"TSG, GROUPE HLD",INVESTISSEUR(S) PRIVÉ(S),n.d.,Build-up international,n.d.
27 nov. 2024,CGLASS.CH,"Suisse |, Etranger",Garde-corps en verre,,N/A,Produits & Services industriels,"CEVINO GLASS, SIPAREX, BPIFRANCE INVESTISSEMENT, RIVES CROISSANCE",FONDATEUR(S),0-5 M€,Build-up international,0-5
27 nov. 2024,DR SCHUTZ,"Allemagne |, Etranger",Rénovation et entretien de tous types de sols,,N/A,Produits & Services industriels,"BLANCHON, IK PARTNERS (EX-IK INVE..., ABENEX",MANAGER(S),n.d.,Build-up international,n.d.
27 nov. 2024,ODYSSEE TECHNOLOGIES,"France |, Bourgogne-Franche-Comté","Fabricant de pièces métalliques pour des ensembles mécaniques destinés à l’aéronautique, l’industrie, la défense et l’énergie",18.80,2023,Produits & Services industriels,EURONEXT GROWTH (EX ALT...,n.d.,27.50 M€,IPO,N/A
27 nov. 2024,LACTIPS,"France |, Auvergne-Rhône-Alpes",Fabrication d'un bioplastique soluble et comestible,,N/A,Environnement & CleanTechs,"SWEN CAPITAL PARTNERS, GO CAPITAL, BPIFRANCE INVESTISSEMENT, BNP PARIBAS DEVELOPPEMENT",n/a,20-50 M€,3e tour,N/A
27 nov. 2024,IKORY ASSET MANAGEMENT,"France |, Île-de-France",Gestionnaire d'actifs immobiliers,,N/A,N/A,DOORFEED,"IKORY
                                                    
                            ,                                                            
                                                                        MANAGER(S)
                    
                                                ,                                                            
                                
                                                                                                                    BELVEDERE VALORISATION ...
                                                    
                            ,                                                            
                                
                                                                                                                    FINAUVI PARTICIPATIONS",0-20 M€,Spin Off,0-20
26 nov. 2024,ARTHRITIS4CURE,"France |, Occitanie",Développer une plateforme de nouveaux biomédicaments de rupture pour guérir la Polyarthrite Rhumatoïde (PR) et d’autres maladies auto-immunes (MAI).,,N/A,N/A,ARTHRITIS RECHERCHE & D...,n/a,0-20 M€,Amorçage (seed),N/A
26 nov. 2024,ARMOR LUX,"France |, Bretagne",Prêt à porter,119,2023,"Textile, Mode, Luxe, Décoration",UNEXO,n/a,50-150 M€,Augmentation de capital,0-20
26 nov. 2024,E2MS,"Belgique |, Etranger","Conception, assemblage, installation et maintenance de transformateurs moyenne et haute tension",,N/A,N/A,"TSG, GROUPE HLD",INVESTISSEUR(S) PRIVÉ(S),n.d.,Build-up international,n.d.
26 nov. 2024,PRONADIS,"France |, Nouvelle-Aquitaine",Grossiste de produits issus de l'agriculture biologique,88,2023,N/A,"ORGANIC ALLIANCE, EURAZEO GLOBAL INVESTOR, CEREA PARTNERS","MANAGER(S)
                    
                                                ,                                                            
                                                                        ACTIONNAIRES FAMILIAUX",0-5 M€,Retournement,N/A
26 nov. 2024,BIOLEVATE,"France |, Île-de-France",Gestion des documents médicaux via l'intelligence artificielle,,N/A,Logiciel et services informatiques,EQT,n/a,n.d.,Amorçage (seed),N/A
26 nov. 2024,ATOUT-BOX,"France |, Occitanie","Spécialiste du self-stockage et services additionnels (coworking pour les professionnels, location de camions, et espaces dédiés à la réception de marchandises lourdes)",5.18,2023,N/A,ARDIAN REAL ESTATE,FONDATEUR(S),50-150 M€,Augmentation de capital,n.d.
26 nov. 2024,LIGHTON,"France |, Île-de-France",Spécialisée dans l'IA générative,8,2023,Logiciel et services informatiques,EURONEXT GROWTH (EX ALT...,n.d.,50-150 M€,IPO,N/A
26 nov. 2024,ZP BETTER TOGETHER (ZVRS - ZP),"États-Unis |, Etranger","Spécialiste des solutions linguistiques destinées aux personnes sourdes et malentendantes à travers une offre combinant des plateformes technologiques et des interprètes, notamment pour rendre les environnements de travail plus accessibles et inclusifs",219,2024,Services & Conseil aux entreprises,"TELEPERFORMANCE, LANGUAGELINE SOLUTIONS","KINDERHOOK INDUSTRIES
                                                    
                            ,                                                            
                                                                        MANAGER(S)",467 M€,M&A (Int'l),n.d.
26 nov. 2024,ECOPARTS,"France |, Île-de-France",Vente en ligne de pièces détachées pour l'électroménager,,N/A,Services & Biens de consommation,"STARQUEST, QUADIA, ETF PARTNERS (ENVIRONME..., SWEN CAPITAL PARTNERS, AMUNDI PRIVATE EQUITY F..., TROCADERO CAPITAL PARTNERS",n.d.,50-150 M€,LBO Primaire,n.d.
26 nov. 2024,IRIS (EX GROUPE SDS),"France |, Nouvelle-Aquitaine",Distribution B2B pièces détachées pour électroménager,31,2023,N/A,"ECOPARTS, STARQUEST, QUADIA, ETF PARTNERS (ENVIRONME..., SWEN CAPITAL PARTNERS, AMUNDI PRIVATE EQUITY F..., TROCADERO CAPITAL PARTNERS","BEE UP CAPITAL (VOIR NA...
                                                    
                            ,                                                            
                                
                                                                                                                    AMUNDI PRIVATE EQUITY F...",20-50 M€,Build-up,20-50
26 nov. 2024,AMPECO,"Bulgarie |, Etranger",Fournisseurs de plateformes logicielles de gestion de la recharge de véhicules électriques,,N/A,Logiciel et services informatiques,"REVAIA, CAVALRY VENTURES, BMW IVENTURES, LAUNCHHUB",n/a,50-150 M€,2e tour,N/A
26 nov. 2024,ARKOLIA ENERGIES,"France |, Occitanie",Opérateur des énergies renouvelables,220,2024,N/A,"MIROVA, BNP PARIBAS ASSET MANAG...","BPIFRANCE INVESTISSEMENT
                                                    
                            ,                                                            
                                
                                                                                                                    SOCIETE GENERALE CAPITA...
                                                    
                            ,                                                            
                                
                                                                                                                    IRDI CAPITAL INVESTISSE...
                                                    
                            ,                                                            
                                
                                                                                                                    SOPER
                                                    
                            ,                                                            
                                
                                                                                                                    SC PLANCHOT INVESTISSEM...
                                                    
                            ,                                                            
                                                                        ACTIONNAIRES FAMILIAUX
                    
                                                ,                                                            
                                                                        MANAGER(S)",n.d.,Augmentation de capital,N/A
26 nov. 2024,KAI,"France |, Île-de-France",Gestion des connaissances basée sur l'IA,,N/A,Logiciel et services informatiques,SEED4SOFT,n/a,0-20 M€,Amorçage (seed),N/A
26 nov. 2024,FORWARD GLOBAL,"France |, Île-de-France","Cabinet de conseil en intelligence économique (lutte fraude, piratage, contrefaçon), affaires internationales (risques institutionnels et médiatiques) et cybersécurité",100,2024,Services & Conseil aux entreprises,"BRIDGEPOINT DEVELOPMENT..., RAISE, RIVES CROISSANCE","RAISE
                                                    
                            ,                                                            
                                
                                                                                                                    RIVES CROISSANCE
                                                    
                            ,                                                            
                                                                        MANAGER(S)",210 M€,LBO Bis,n.d.
25 nov. 2024,UPTALE,"France |, Île-de-France","Éditeur de logiciels de création de modules de formation immersive, diffusables notamment sur les équipements de réalité virtuelle",,N/A,Logiciel et services informatiques,"ARKEA CAPITAL, GO CAPITAL",n/a,20-50 M€,1er tour,N/A
25 nov. 2024,PT CITRA PEMBINA PENGANGKUTAN IND...,"Indonésie |, Etranger","- PT SCN gère le port de Citranusa Kabil, connu sous le nom de port de Citranusa Kabil.
- PT Citra Pembina Pengangkutan Industries (CPPI) est un fournisseur de services logistiques complets dans les services suivants : gestion de la chaîne d'approvisionnement, gestion du fret de projet, gestion des stocks, gestion du matériel et de la manutention du fret.",,N/A,N/A,CKB LOGISTICS,VALLOUREC,20 M€,M&A (Int'l),N/A
25 nov. 2024,RAIDIUM,"France |, Île-de-France","Medtech à l’origine d’une nouvelle génération d’IA pour la radiologie de précision (modèle « fondation » d'intelligence artificielle de grande taille, entraîné sur plus d’un milliard d’images non étiquetées)",,N/A,Logiciel et services informatiques,"NEWFUND, KURMA PARTNERS, FOUNDERS FUTURE, GALION.EXE, TECHMIND, DEBIOPHARM INNOVATION FUND, EUROPEAN INNOVATION COU...",n/a,30 M€,Amorçage (seed),N/A
25 nov. 2024,BIOMEMORY,"France |, Île-de-France","Deeptech proposant des solutions, basées sur l'ADN, de réécriture et de stockage des données numériques",,N/A,N/A,"CREDIT MUTUEL INNOVATION, BPIFRANCE INVESTISSEMENT, BLAST.CLUB (BLAST CLUB), PARIS BUSINESS ANGELS (..., AUDACIA, ALOE PRIVATE EQUITY, ADNEXUS (GROUPE ADSN), PRUNAY IMPACT, NEXT FINANCE (NEXT SEQU..., ACCELEREM",n/a,50-150 M€,1er tour,N/A
25 nov. 2024,METRON,"France |, Île-de-France",Cleantech spécialisée dans l'optimisation énergétique qui développe des solutions digitales pour aider les entreprises industrielles à optimiser et réduire leur consommation énergétique et donc leur empreinte carbone,,N/A,Logiciel et services informatiques,"GET FUND (GREEN EUROPEA..., BNP PARIBAS PRINCIPAL I..., OGCI CLIMATE INVESTMENTS, VERTIGO",n/a,50-150 M€,5e tour,N/A
25 nov. 2024,OPTYM-HA,"France |, Auvergne-Rhône-Alpes",Entreprise de nettoyage de filtres à particules et régénération d’échappements et batteries pour les bus et cars,11,2024,Produits & Services industriels,ALBAREST PARTNERS,FONDATEUR(S),0-20 M€,LBO Primaire,n.d.
25 nov. 2024,LES THERMES DE SAINT GERVAIS LES ...,"France |, Auvergne-Rhône-Alpes",Station thermale,,N/A,"Tourisme, hôtellerie/restauration, loisirs",COSPAL,L'OREAL,0-20 M€,M&A Corporate,0-20
25 nov. 2024,DEVIALET,"France |, Île-de-France",Fabricant d'enceintes et autres produits acoustiques haut de gamme,,N/A,Electronique & Informatique,"KORELYA CAPITAL, CREDIT MUTUEL EQUITY, KIMA VENTURES, BPIFRANCE INVESTISSEMENT, AAC TECHNOLOGIES, FINANCIÈRE AGACHE",n/a,n.d.,7e tour,N/A
25 nov. 2024,ORAKL ONCOLOGY,"France |, Île-de-France",Oncologie de précision : plateforme de simulation des tumeurs aidant au développement médicamenteux,,N/A,Logiciel et services informatiques,"SINGULAR CAPITAL PARTNE..., SPEEDINVEST, HCVC (ELEPHANTS & VENTU..., VERVE VENTURES (EX INVE...",n/a,n.d.,Amorçage (seed),5-10
25 nov. 2024,WALOR BOGNY,"France |, Grand Est",Usinage et décolletage de pièces mécaniques.,,N/A,Produits & Services industriels,FORGEX FRANCE,"WALOR INTERNATIONAL
                                                    
                            ,                                                            
                                
                                                                                                                    MUTARES AG",0-5 M€,Retournement,0-20
22 nov. 2024,INTERACTIVE WORKSHOPS,"Royaume-Uni |, Etranger","Organisme de formation spécialisé dans les solutions de formation sur-mesure, axées notamment sur le leadership, la vente, le team building et le développement personnel",,N/A,Services & Conseil aux entreprises,"CEGOS, BRIDGEPOINT DEVELOPMENT...",ACTIONNAIRES HISTORIQUES,n.d.,Build-up international,n.d.
22 nov. 2024,MEDICIA GESTION PRIVÉE,"France |, Bourgogne-Franche-Comté",Cabinet de conseil en gestion de patrimoine,,N/A,N/A,"CYRUS/MAISON HEREZ, BRIDGEPOINT DEVELOPMENT...",FONDATEUR(S),n.d.,Build-up,n.d.
21 nov. 2024,SYROCO,"France |, Région Sud - Provence-A",Éditeur d'un logiciel d'optimisation de l’efficacité opérationnelle et énergétique des navires commerciaux,,N/A,Logiciel et services informatiques,"ALTER EQUITY, SEVENTURE PARTNERS",n/a,0-20 M€,1er tour,N/A
21 nov. 2024,SOFIAC,"Canada |, Etranger",Accompagnement des entreprises des secteurs tertiaire et industriel dans leur transition énergétique en prenant à charge des investissements requis pour accroître l’efficacité énergétique de leurs bâtiments,,N/A,N/A,,n.d.,n.d.,Financement,N/A
21 nov. 2024,FAIRCRAFT,"France |, Île-de-France",Biotech à l'origine d'un procédé de synthèse de cuir organique,,N/A,N/A,"KINDRED VENTURES, CAPHORN INVEST, BPIFRANCE INVESTISSEMENT, ENTREPRENEUR FIRST, VENTECH, HEIRLOOM CARBON TECHNOL...",n/a,20-50 M€,1er tour,N/A
21 nov. 2024,ACOM INDUSTRIAL M&A,"France |, Auvergne-Rhône-Alpes",Conseil M&A,,N/A,N/A,XYLOCORP,ACOM CONSEIL,n.d.,M&A Corporate,n.d.
21 nov. 2024,NAVIGACOM,"France |, Île-de-France","Conseil en réseaux & télécommunication, cloud computing et cybersécurité",9.92,2023,Logiciel et services informatiques,"MERITIS, IXO PRIVATE EQUITY, SOCIETE GENERALE CAPITA...","FONDATEUR(S)
                    
                                                ,                                                            
                                                                        MANAGER(S)",0-20 M€,Build-up,n.d.
21 nov. 2024,CUVELIER,"France |, Hauts-de-France","Spécialiste des installations temporaires de chantiers : location-vente de grues à montage automatisé, et installations électriques de chantier",7,2024,"Immobilier & construction, bâtiment","GROUPE BTC (PIAZZA COFF..., RE-SOURCES CAPITAL, FINORPA GIE, BPIFRANCE INVESTISSEMENT",MANAGER(S),10-15 M€,Build-up,10-15
20 nov. 2024,TOTEM,"France |, Île-de-France",Développement d'une solution innovante de magasins autonomes dans le domaine de la restauration d'entreprise via des armoires réfrigérées connectées,4,2023,"Tourisme, hôtellerie/restauration, loisirs",NEOCORNER (NSEDA),"MAKI VENTURES (MAKI.VC)
                                                    
                            ,                                                            
                                
                                                                                                                    SAMAIPATA VENTURES
                                                    
                            ,                                                            
                                
                                                                                                                    KIMA VENTURES
                                                    
                            ,                                                            
                                
                                                                                                                    TEKTON VENTURES
                                                    
                            ,                                                            
                                                                        FONDATEUR(S)",0-5 M€,Retournement,0-5
20 nov. 2024,NIVIMU,"Espagne |, Etranger","Éditeur de logiciels RH, pour les sociétés de 200 à 1 500 salariés, spécialisé dans des secteurs à horaires variables (entretien, réception...)",,N/A,Logiciel et services informatiques,"SEPTEO, HG CAPITAL (HG)",FONDATEUR(S),0-20 M€,Build-up international,0-20
20 nov. 2024,MG2MIX,"France |, Bretagne",Conception et fabrication de prémix et de minéraux destinés à l’alimentation animale,70,2024,N/A,CEREA PARTNERS,MANAGER(S),50-150 M€,Sponsorless,n.d.
20 nov. 2024,KYOTHERM,"France |, Île-de-France","Spécialiste de la décarbonation des sites industriels et des bâtiments tertiaires : développement et financement de projets liés à la chaleur renouvelable, à l’efficacité énergétique et à la flexibilité énergétique, grâce à des technologies telles que la biomasse, la géothermie, le solaire thermique ou la récupération de chaleur fatale",35,2023,N/A,"INFRAVIA CAPITAL PARTNERS, ANDERA PARTNERS","NORIA (TIBI FIDO)
                                                    
                            ,                                                            
                                
                                                                                                                    JOHES
                                                    
                            ,                                                            
                                
                                                                                                                    STARQUEST
                                                    
                            ,                                                            
                                
                                                                                                                    CICLAD
                                                    
                            ,                                                            
                                
                                                                                                                    BPIFRANCE INVESTISSEMENT",n.d.,Augmentation de capital,250-500
20 nov. 2024,SACHA STRATEGY,"France |, Centre-Val de Loire",Solutions Saas destinées à optimiser les stratégies d'achats,,N/A,Logiciel et services informatiques,"OXALYS, SOCIETE GENERALE CAPITA...",MANAGER(S),0-5 M€,Build-up,0-5
20 nov. 2024,WALLY (WALLY INVEST),"France |, Île-de-France",Éditeur d'une solution en ligne d'investissement immobilier en club-deal,,N/A,"Internet & ecommerce, eservices","50 PARTNERS CAPITAL, KLUB, INEXT",n/a,5-10 M€,Amorçage (seed),N/A
20 nov. 2024,BFORE.AI,"France |, Occitanie",Solutions logicielles de cybersécurité prédictives,,N/A,Logiciel et services informatiques,"TITANIUM VENTURES, SYN VENTURES, KARMA VENTURES (KARMA.VC), KARISTA (EX CAPDECISIF ..., ADDENDUM CAPITAL",n/a,100 M€,3e tour,N/A
20 nov. 2024,YUNOO,"Royaume-Uni |, Etranger","Éditeur d'une application permettant de générer un site de vente instantanément dans des systèmes de gestion de formation (LMS), offrant ainsi la possibilité de monétiser des contenus de formation",,N/A,Logiciel et services informatiques,RISE UP,FONDATEUR(S),0-20 M€,M&A (Int'l),0-20
20 nov. 2024,MEDIASPECS,"Belgique |, Etranger","Agences de la publicité, du mediaplanning et de la communication",,N/A,"Média, Marketing/Communication et Télécom",ADWANTED,FONDATEUR(S),0-20 M€,M&A (Int'l),0-20
19 nov. 2024,WECASA,"France |, Île-de-France",Place de marché de réservation de services à domicile,,N/A,"Internet & ecommerce, eservices","SERENA CAPITAL, BLISCE/, ISAI, IXO PRIVATE EQUITY",n/a,50-150 M€,3e tour,N/A
19 nov. 2024,LISAN FINANCE (EX ASC CONSULTING),"France |, Île-de-France",Cabinet de direction administrative et financière (DAF) externalisée pour sociétés innovantes,,N/A,N/A,,FONDATEUR(S),0-20 M€,Reprise Management,0-20
19 nov. 2024,QUICK,"Belgique |, Etranger",Chaîne de fast-food,415,2023,"Tourisme, hôtellerie/restauration, loisirs",,n.d.,n.d.,Refinancement,n.d.
