Date,Target Name,Target Tags,Target Description,Revenue,Revenue Year,Sector,Buyers,Sellers,Valorisation,Operation Type,Transaction Amount,FM et TNT),"connu sous le nom de port de Citranusa Kabil.
- PT Citra Pembina Pengangkutan Industries (CPPI) est un fournisseur de services logistiques complets dans les services suivants","d’alimentation en eau potable (AEP) et de réseaux fibrés
2LTP",financement avec annuaire des professionnels de la maison.- GUIDE-Piscine.fr,principalement auprès des organismes publics,c'est 16 marques,spécialisé dans la mobilité urbaine,Uniques - Activité occasion,"l'architecture ;
- The Good Life (créé en 2011)",développé sur quatre verticales,(PB WEALTH MANAGER),spécialisée dans les domaines de la santé,le streetwear)
10 juil. 2024,ARA CURSUS (ARA),Pologne |,Développement et exploitation d’unités de méthanisation en Pologne,nan,nan,nan,SUEZ,BOURGOGNE (SPV BOURGOGNE),5 M€,Augmentation de capital,nan,,,,,,,,,,,,,
10 juil. 2024,CRISALID,France |,Éditeur de logiciels d’encaissement dédiés aux métiers de la boulangerie,7,2023.0,Logiciel et services informatiques,ISAGRI,FONDATEUR(S),10-15 M€,M&A Corporate,n.d.,,,,,,,,,,,,,
10 juil. 2024,PIERRE AUDOUIN CONSULTANTS (PAC),France |,Cabinet de conseil en stratégie et d'analyse pour les ESN et éditeur de logiciels,6.50,2023.0,Services & Conseil aux entreprises,CITA INVESTISSEMENT,PLATINA PARTNERS,0-5 M€,M&A Corporate,0-5,,,,,,,,,,,,,
10 juil. 2024,GROUPE IEC (INSTITUT D'EXPERTISE ...,France |,Réalisation d'essais cliniques d’innocuité et d’efficacité des tests in vitro,12,2023.0,Santé,SGS GROUP,MANAGER(S),n.d.,M&A (Int'l),n.d.,,,,,,,,,,,,,
10 juil. 2024,SIMPLIFIA,France |,Éditeur de logiciels de gestion pour pompes funèbres indépendantes et de services en ligne pour les familles endeuillées,8.50,2023.0,Logiciel et services informatiques,CAPZA,FONDATEUR(S),20-50 M€,LBO Primaire,20-50,,,,,,,,,,,,,
10 juil. 2024,ACTIFS DE TREEGR,France |,Distribution de cartes cadeaux écoresponsables,0.02,2023.0,Internet & ecommerce,UGGY (EX IFEELGOODS),FONDATEUR(S),0-5 M€,Build-up,0-5,,,,,,,,,,,,,
09 juil. 2024,BUSIT,France |,Logiciel à destination des secteurs de l’industrie,nan,nan,Logiciel et services informatiques,MITRIM,n.d.,0-5 M€,M&A Corporate,0-5,,,,,,,,,,,,,
09 juil. 2024,AG2R LA MONDIALE,France |,Protection sociale et patrimoniale en France,nan,nan,nan,nan,n.d.,n.d.,Financement,nan,,,,,,,,,,,,,
09 juil. 2024,DELTA ASSURANCES,France |,Courtage en assurances et services technologiques aux entreprises,36,2023.0,nan,AON,GROUPE CANDIDE,50-150 M€,M&A Corporate,n.d.,,,,,,,,,,,,,
09 juil. 2024,RICH SAUCES,Royaume-Uni |,Producteur et fournisseur d’ingrédients de restauration à l’industrie de la restauration au Royaume-Uni,nan,nan,nan,SOLINA GROUP,FONDATEUR(S),20-50 M€,Build-up international,20-50,,,,,,,,,,,,,
09 juil. 2024,NOVASOL,France |,Nettoyage industriel,25,2023.0,Services & Conseil aux entreprises,PUISSANCE 5,MANAGER(S),0-20 M€,M&A Corporate,0-20,,,,,,,,,,,,,
09 juil. 2024,REGIPLAST,France |,Fabrication de sanitaires.,nan,nan,Immobilier & construction,OLI-SISTEMAS SANITARIOS,n.d.,0-20 M€,M&A (Int'l),0-20,,,,,,,,,,,,,
09 juil. 2024,MISTRAL.COM,France |,SSII spécialisée en réseaux informatiques,nan,nan,Logiciel et services informatiques,W2SI,n.d.,n.d.,M&A Corporate,n.d.,,,,,,,,,,,,,
09 juil. 2024,MOBILIZE FINANCIAL SERVICES (RCI ...,France |,Financements et services automobiles,nan,nan,nan,EURONEXT (BOURSE),n.d.,n.d.,Emission obligataire,nan,,,,,,,,,,,,,
09 juil. 2024,CLAUDINE COLIN COMMUNICATION,France |,Agence de communication culturelle,3.50,2023.0,Média,FINN PARTNERS,FONDATEUR(S),0-20 M€,M&A (Int'l),0-20,,,,,,,,,,,,,
09 juil. 2024,SCIRHOM,Allemagne |,Développement d'anticorps thérapeutiques ciblant iRhom pour traiter les maladies auto-immunes,nan,nan,nan,ANDERA PARTNERS,nan,n.d.,1er tour,nan,,,,,,,,,,,,,
09 juil. 2024,ENDORON MEDICAL,Israël |,Medtech : solution d'ancrage pour le traitement endovasculaire des anévrismes aortiques abdominaux (AAA),nan,nan,Produits Pharmaceutiques & matériel médical,SOFINNOVA PARTNERS,nan,n.d.,1er tour,nan,,,,,,,,,,,,,
08 juil. 2024,WALOR NORTH AMERICA,États-Unis |,Spécialiste du forgeage et de l'usinage de composants en acier avec des compétences de base dans le forgeage à chaud,86,2024.0,Automobile,WALOR INTERNATIONAL,HIRSCHVOGEL HOLDING GMBH,0-5 M€,M&A (Int'l),0-5,,,,,,,,,,,,,
08 juil. 2024,PASS INTERIM,France |,Plateforme de mise en relation entre demandeurs d'emploi et agences d'intérim,0.12,2023.0,Internet & ecommerce,ALSACE BUSINESS ANGELS ...,nan,0-20 M€,Amorçage (seed),nan,,,,,,,,,,,,,
08 juil. 2024,EREFERER,France |,Plateforme automatisée de Netlinking,nan,nan,Internet & ecommerce,ROCKETLINKS (REECH),MANAGER(S),0-5 M€,M&A Corporate,0-5,,,,,,,,,,,,,
08 juil. 2024,SYNSIGHT,France |,Biotech développant une technologie de criblage in cellulo de molécules dans l'optique de découvrir de nouveaux candidats médicaments,nan,nan,nan,IKTOS,MANAGER(S),0-5 M€,Retournement,0-5,,,,,,,,,,,,,
08 juil. 2024,PHYTEUROP,France |,Produits de protection des plantes,nan,nan,nan,SIPCAM OXON,ACCERES,n.d.,M&A (Int'l),n.d.,,,,,,,,,,,,,
08 juil. 2024,OSMAIA (EX PINSON PAYSAGE),France |,Aménagement et entretien d’espaces verts,180,2023.0,Environnement & CleanTechs,MBO+,MBO+,n.d.,Cession secondaire,n.d.,,,,,,,,,,,,,
08 juil. 2024,LOCATION TRANSPORT (GROUPE LT),France |,Location matériels et engins de chantier,50,2023.0,Immobilier & construction,MBO+,MBO+,n.d.,Cession secondaire,n.d.,,,,,,,,,,,,,
08 juil. 2024,MYRICX BIO,Royaume-Uni |,Biotech développant d'une nouvelle plateforme d’anticorps conjugués anticorps-médicaments (ADC),nan,nan,nan,NOVO A/S (NOVO HOLDINGS),nan,n.d.,1er tour,nan,,,,,,,,,,,,,
08 juil. 2024,ORDINAL SOFTWARE,France |,Éditeur d’une suite de logiciels de pilotage et de suivi de la production industrielle,nan,nan,Logiciel et services informatiques,CODRA INGENIERIE INFORM...,SHANGHAI KEZHI ELECTRIC...,0-20 M€,M&A (Int'l),0-5,,,,,,,,,,,,,
08 juil. 2024,QUARKSUP,France |,Gestion des ressources humaines et de préparation de paie,nan,nan,Logiciel et services informatiques,VISMA,MANAGER(S),0-20 M€,Build-up international,0-20,,,,,,,,,,,,,
08 juil. 2024,MVE,France |,Services à la personne (ménage,0.77,2023.0,Services & Biens de consommation,OUI CARE,n.d.,0-5 M€,Build-up,0-5,,,,,,,,,,,,,
08 juil. 2024,ARTEMYN (EX ACTIVITÉS MARCHÉ DU P...,France |,Actifs servant le marché du papier de la société Imerys,370,2023.0,Matières premières & industries de base (minerais,FLACKS,IMERYS,150 M€,M&A (Int'l),n.d.,,,,,,,,,,,,,
05 juil. 2024,TALENCE GESTION (VOIR PATRIVAL),France |,Conseil en gestion de patrimoine (CGP),nan,nan,nan,FINARIS,FONDATEUR(S),n.d.,Fusion,n.d.,,,,,,,,,,,,,
05 juil. 2024,WIPPLAY,France |,Site web de photographies.,nan,nan,Internet & ecommerce,OOSHOT.COM,n.d.,0-20 M€,M&A Corporate,0-20,,,,,,,,,,,,,
05 juil. 2024,DELVILLE MANAGEMENT,France |,Cabinet de management de transition,37,2023.0,Services & Conseil aux entreprises,INDIGO CAPITAL,FONDATEUR(S),20-50 M€,Sponsorless,n.d.,,,,,,,,,,,,,
05 juil. 2024,ALLIANCE ECOCONSTRUCTION,France |,Entreprises de BTP spécialisées dans les travaux de ravalement,6.50,2023.0,Immobilier & construction,nan,FONDATEUR(S),5 M€,MBO,nan,,,,,,,,,,,,,
05 juil. 2024,LYDEC,Maroc |,Opérateur de services publics qui gère la distribution d'eau et d'électricité,700,2023.0,Environnement & CleanTechs,SOCIÉTÉ RÉGIONALE MULTI...,VEOLIA,n.d.,M&A (Int'l),n.d.,,,,,,,,,,,,,
05 juil. 2024,DOMINO SERVICES,France |,Services de proximité à destination des particuliers et des professionnels,nan,nan,Services & Biens de consommation,OUIHELP,FONDATEUR(S),10-15 M€,M&A Corporate,10-15,,,,,,,,,,,,,
05 juil. 2024,PRESTO ENGINEERING GROUP,France |,Conception de puces électroniques spécifiques (ASICs),60,2024.0,Produits & Services industriels,DENTRESSANGLE,BPIFRANCE INVESTISSEMENT,50-150 M€,LBO Bis,n.d.,,,,,,,,,,,,,
05 juil. 2024,LECTOR,Danemark |,Éditeur de logiciels de gestion des procédures douanières,5,2023.0,Logiciel et services informatiques,CONEX,FONDATEUR(S),10-15 M€,Build-up international,10-15,,,,,,,,,,,,,
05 juil. 2024,ASCOMETAL (ASCO INDUSTRIES),France |,Produits en aciers spéciaux,nan,nan,Produits & Services industriels,GREYBULL CAPITAL,SWISS STEEL GROUP (EX-S...,n.d.,Retournement,n.d.,,,,,,,,,,,,,
04 juil. 2024,ACORN ENVIRONMENTAL MANAGEMENT GROUP,Royaume-Uni |,Gestion de la végétation,13.08,2023.0,Services & Biens de consommation,IDVERDE,MANAGER(S),n.d.,Build-up international,n.d.,,,,,,,,,,,,,
04 juil. 2024,PL DIFFUSION,France |,Distribution de marques de vêtements et produits premium pour la randonnée,3,2023.0,nan,GMT OUTDOOR,MANAGER(S),0-5 M€,M&A Corporate,0-5,,,,,,,,,,,,,
04 juil. 2024,ALICANTE,France |,Utilisation de l’intelligence artificielle au service des professionnels de santé,nan,nan,Logiciel et services informatiques,OSPI (EX GROUPE PSIH),MANAGER(S),0-5 M€,Build-up,n.d.,,,,,,,,,,,,,
04 juil. 2024,FINEHEART (FINE HEART),France |,Medtech développant un dispositif miniaturisé d’assistance cardiaque (accélérateur de débit,nan,nan,Produits Pharmaceutiques & matériel médical,EIC,nan,n.d.,3e tour,nan,,,,,,,,,,,,,
04 juil. 2024,AENITIS TECHNOLOGIES,France |,Medtech conceptrice d'une machine de tri,nan,nan,Produits Pharmaceutiques & matériel médical,EUROPEAN INNOVATION COU...,nan,15-20 M€,1er tour,nan,,,,,,,,,,,,,
04 juil. 2024,SOIL CAPITAL,France |,Éditeur d'une solution d'aide à la décarbonation pour les agriculteurs,nan,nan,Environnement & CleanTechs,TRILL IMPACT,nan,50-150 M€,2e tour,nan,,,,,,,,,,,,,
04 juil. 2024,WORLDLINE,France |,Services de paiements électroniques,4 610,2023.0,Electronique & Informatique,nan,n.d.,>1000 M€,Refinancement,nan,,,,,,,,,,,,,
04 juil. 2024,SYMALEAN,France |,Editeur d'un logiciel et d'une application mobile pour la gestion des processus QHSE,nan,nan,Logiciel et services informatiques,TURENNE GROUPE,PAYS DE LA LOIRE PARTIC...,12 M€,Augmentation de capital,nan,,,,,,,,,,,,,
03 juil. 2024,ENVIRO & INDUSTRIAL SOLUTIONS MID...,France |,Spécialiste de la surveillance de la qualité de l’air,nan,nan,Environnement & CleanTechs,GROUPE CLS,FONDATEUR(S),0-20 M€,Build-up international,0-20,,,,,,,,,,,,,
03 juil. 2024,NORA IMAGERIE,France |,Groupement de centres de radiologie,35,2023.0,Santé,VIDI CAPITAL,MANAGER(S),50-150 M€,M&A Corporate,20-50,,,,,,,,,,,,,
03 juil. 2024,MAISON MORISSEAU,France |,Mytiliculteur produisant des moules bouchot,7.70,2023.0,nan,UNEXO,FONDATEUR(S),0-20 M€,LBO Primaire,n.d.,,,,,,,,,,,,,
03 juil. 2024,RENZO L'ARTISAN GLACIER,France |,Artisan glacier,2,2023.0,nan,BISSARDON JUS DE FRUITS...,FONDATEUR(S),0-5 M€,M&A Corporate,0-5,,,,,,,,,,,,,
03 juil. 2024,GTP BIOWAYS,France |,CDMO spécialisé dans la production de biothérapies et de nanothérapies en lots cliniques,15,2023.0,nan,OLON,MERIEUX EQUITY PARTNERS,50-150 M€,M&A (Int'l),n.d.,,,,,,,,,,,,,
03 juil. 2024,ELVESYS,France |,Fabrication d'équipements scientifiques de contrôle de fluide,nan,nan,Produits & Services industriels,YOTTA CAPITAL PARTNERS,FONDATEUR(S),n.d.,MBO,n.d.,,,,,,,,,,,,,
03 juil. 2024,DELEAGE,France |,Solutions de décor et de signalétique pour l’évènementiel.,6,2023.0,Services & Conseil aux entreprises,MATCHEVENT,FONDATEUR(S),5-10 M€,Build-up,5-10,,,,,,,,,,,,,
03 juil. 2024,GROUPE AGEO,France |,Courtier en assurances,27,2023.0,nan,HOWDEN GROUP,FONDATEUR(S),n.d.,M&A (Int'l),n.d.,,,,,,,,,,,,,
03 juil. 2024,LES 3 CHOUETTES,France |,Commercialisation de condiments (pickles,0.87,2023.0,nan,ARCADYS (ARCADY'S),FONDATEUR(S),0.07 M€,Retournement,nan,,,,,,,,,,,,,
03 juil. 2024,MURENA,France |,Smartphones et systèmes d'exploitation axés sur la protection de la vie privée,2.50,2023.0,Logiciel et services informatiques,CROWDCUBE,nan,0-20 M€,1er tour,nan,,,,,,,,,,,,,
03 juil. 2024,MEDITEST (MEDI TEST),France |,Fournisseur d’équipements de contrôle qualité des plateaux techniques de radiologie,3,2023.0,Produits Pharmaceutiques & matériel médical,OMNES MEDICAL,MANAGER(S),n.d.,Build-up,n.d.,,,,,,,,,,,,,
03 juil. 2024,MATECIR DÉFIBRIL,France |,Distribution,7.07,2023.0,Produits Pharmaceutiques & matériel médical,OMNES MEDICAL,MANAGER(S),0-20 M€,Build-up,0-20,,,,,,,,,,,,,
03 juil. 2024,FYZEA,France |,Distribution de matériels pour la rééducation auprès des kinésithérapeutes et des établissements hospitaliers,7,2023.0,Produits Pharmaceutiques & matériel médical,OMNES MEDICAL,FONDATEUR(S),n.d.,Build-up,n.d.,,,,,,,,,,,,,
03 juil. 2024,ANTAGENE,France |,Biologie vétérinaire,nan,nan,Santé,MARS INC.,CERBA HEALTHCARE,n.d.,Majoritaire,n.d.,,,,,,,,,,,,,
03 juil. 2024,VALENTIN TRAITEUR,France |,Fabrication de produits traiteur frais,290,2024.0,nan,JPA INVEST,SIPAREX,n.d.,MBO,n.d.,,,,,,,,,,,,,
03 juil. 2024,MAISON BOLARD (MICHEL BOLARD),France |,Fabrication de pâté en croûte et de charcuterie-pâtisserie,75,2023.0,nan,VALENTIN TRAITEUR,n.d.,50-150 M€,M&A Corporate,50-150,,,,,,,,,,,,,
03 juil. 2024,CERBA VET,France |,Laboratoire vétérinaire,nan,nan,Santé,MARS INC.,CERBA HEALTHCARE,n.d.,Majoritaire,n.d.,,,,,,,,,,,,,
03 juil. 2024,AZURE HOLDING (NATURNES,France |,Marques NaturNes,100,2023.0,nan,FNB PRIVATE EQUITY,NESTLE,50-150 M€,Carve-out,n.d.,,,,,,,,,,,,,
03 juil. 2024,AMBRE MARINE,France |,Mytiliculteur,0.60,2023.0,nan,MAISON MORISSEAU,n.d.,0-5 M€,Build-up,0-5,,,,,,,,,,,,,
03 juil. 2024,ALPHEYS,France |,Distributeur de solutions patrimoniales pour les professionnels de la gestion de patrimoine,45,2023.0,nan,APICIL,OFI INVEST,n.d.,M&A Corporate,n.d.,,,,,,,,,,,,,
02 juil. 2024,DE ZUTTER TRANSPORTS,France |,Transports routiers de fret interurbains,6,2023.0,nan,nan,MANAGER(S),n.d.,M&A Corporate,n.d.,,,,,,,,,,,,,
02 juil. 2024,TRF RETAIL,France |,Plateforme Saas pour retailer boostée à l'IA,nan,nan,Logiciel et services informatiques,GROUPE BAELEN,MANAGER(S),0-20 M€,M&A Corporate,0-20,,,,,,,,,,,,,
02 juil. 2024,OMNES MEDICAL,France |,Réseau de sociétés de distribution de dispositifs médicaux,nan,nan,Produits Pharmaceutiques & matériel médical,ENTREPRENEUR INVEST,n.d.,n.d.,LBO Primaire,n.d.,,,,,,,,,,,,,
02 juil. 2024,ADM LIGHT LUM,France |,Commerce de gros des luminaires,1,2023.0,Services & Biens de consommation,ALUMINOR,COREP LIGHTING,n.d.,M&A Corporate,n.d.,,,,,,,,,,,,,
02 juil. 2024,BIJOUTERIE PIERRE JACQUOT,France |,Bijouterie,7,2023.0,Textile,BIJOUTERIE LEPAGE,ACTIONNAIRES FAMILIAUX,5-10 M€,M&A Corporate,5-10,,,,,,,,,,,,,
02 juil. 2024,GROUPE ABCD INTERNATIONAL,France |,Cloisons démontables de bureaux et de box autonomes,40,2023.0,Immobilier & construction,SOCIETE GENERALE CAPITA...,MANAGER(S),20-50 M€,OBO,5-10,,,,,,,,,,,,,
02 juil. 2024,BIJOUTERIE NORA,France |,Bijouterie,8,2023.0,Textile,BIJOUTERIE LEPAGE,ACTIONNAIRES FAMILIAUX,0-5 M€,M&A Corporate,0-5,,,,,,,,,,,,,
02 juil. 2024,BOHR ENERGIE,France |,Agrégateur pure player de la gestion d’actifs énergétiques au service des producteurs indépendants.,nan,nan,Logiciel et services informatiques,VARSITY,nan,16 M€,Amorçage (seed),nan,,,,,,,,,,,,,
02 juil. 2024,BLUE CAPSULE,France |,Développement d'un modèle de réacteur nucléaire compact et modulaire à haute température,nan,nan,nan,EREN GROUPE,nan,0-20 M€,Amorçage (seed),nan,,,,,,,,,,,,,
02 juil. 2024,SOTERIA LAB,France |,Services de cybersécurité à destination des entreprises et institutionnels,1,2023.0,Logiciel et services informatiques,YEAST,nan,2.50 M€,1er tour,nan,,,,,,,,,,,,,
02 juil. 2024,D-ICE ENGINEERING,France |,Société de recherche dans les innovations marines,1.30,2023.0,Automobile,SWEN CAPITAL PARTNERS,nan,15-20 M€,1er tour,nan,,,,,,,,,,,,,
02 juil. 2024,AKORE (AUTOMOTIVE KOREAN ORIGINAL...,France |,Concepteur,17,2023.0,Automobile,MOMENTUM INVEST,FONDATEUR(S),20-50 M€,LBO Primaire,n.d.,,,,,,,,,,,,,
02 juil. 2024,TALENTS TUBE,France |,Plateforme de recrutement 100% vidéo,nan,nan,Logiciel et services informatiques,GEOLINK EXPANSION,FONDATEUR(S),0-5 M€,Retournement,0-5,,,,,,,,,,,,,
02 juil. 2024,RHONE CAPITAL,France |,Conseil en gestion du patrimoine,nan,nan,nan,CGP CENTAURE INVESTISSE...,n.d.,0-5 M€,Build-up,0-5,,,,,,,,,,,,,
02 juil. 2024,RIALTO CONSEIL,France |,Cabinet de conseil en gestion du patrimoine,nan,nan,nan,CGP CENTAURE INVESTISSE...,MANAGER(S),0-5 M€,Build-up,0-5,,,,,,,,,,,,,
02 juil. 2024,SUNDGAU ELECTRICITE,France |,Travaux d'installation électrique,1.37,2023.0,nan,nan,MANAGER(S),1.10 M€,M&A Corporate,nan,,,,,,,,,,,,,
02 juil. 2024,PLACETUDE PATRIMOINE,France |,Conseil en Gestion de patrimoine (CGP),nan,nan,nan,CG PATRIMOINE (CG FINAN...,FONDATEUR(S),0-5 M€,Majoritaire,0-5,,,,,,,,,,,,,
02 juil. 2024,TRESER & CIE,France |,Bijouterie,0.30,2023.0,Textile,BIJOUTERIE LEPAGE,ACTIONNAIRES FAMILIAUX,0-5 M€,M&A Corporate,0-5,,,,,,,,,,,,,
02 juil. 2024,KARBONPATH,France |,Plateforme Saas de conformité et de transformation ESG,nan,nan,Logiciel et services informatiques,nan,nan,0-5 M€,Amorçage (seed),nan,,,,,,,,,,,,,
02 juil. 2024,APR BEAUTY,Canada |,Produits de maquillage et soins de la peau.,40,2024.0,Santé,ANJAC HEALTH & BEAUTY,FONDATEUR(S),n.d.,M&A (Int'l),n.d.,,,,,,,,,,,,,
02 juil. 2024,CGP CENTAURE INVESTISSEMENTS,France |,Conseil en gestion de patrimoine,2,2023.0,nan,CICLAD,FONDATEUR(S),5-10 M€,Majoritaire,n.d.,,,,,,,,,,,,,
02 juil. 2024,TEL (TELECOMMUNICATION ELECTRONIQ...,France |,Distributeur et intégrateur de solutions de radiocommunication professionnelle,4,2023.0,Média,DESMAREZ,MANAGER(S),0-5 M€,Build-up,0-5,,,,,,,,,,,,,
02 juil. 2024,3D MARINE,France |,Concepteur et distributeur de bateaux semi-rigides,8.70,2023.0,Automobile,AXIO CAPITAL,FONDATEUR(S),10-15 M€,MBO,n.d.,,,,,,,,,,,,,
02 juil. 2024,MBO GROUPE (OUVAROFF,France |,Spécialiste des grands projets complexes d’installation de calorifuge - ou isolation thermique - et d’échafaudages (de l'étude et de l'ingénierie à la maintenance) dans les secteurs du nucléaire,85,2023.0,Immobilier & construction,SOLETANCHE FREYSSINET (...,ACTIONNAIRES FAMILIAUX,n.d.,M&A Corporate,n.d.,,,,,,,,,,,,,
02 juil. 2024,PLAYERS (EX SOCCER PARK),France |,Réseau de football à cinq et de padel,nan,nan,Tourisme,VENDIS CAPITAL,FONDATEUR(S),50-150 M€,LBO Primaire,n.d.,,,,,,,,,,,,,
01 juil. 2024,HESTIA (MYVESTA),France |,Spécialisé dans les  services complets pour optimiser la rentabilité et minimiser les risques liés à l'investissement locatif-,nan,nan,Immobilier & construction,GROUPE PASTOR,nan,0-5 M€,Amorçage (seed),nan,,,,,,,,,,,,,
01 juil. 2024,RESIDENCES COMME TOIT,France |,Développeur de logements inclusifs en location,nan,nan,Immobilier & construction,AMUNDI FINANCE ET SOLID...,nan,20-50 M€,Augmentation de capital,nan,,,,,,,,,,,,,
01 juil. 2024,PIMPUP,France |,Solution anti-gaspillage de vente à distance de paniers de fruits et légumes,1,2024.0,Internet & ecommerce,nan,nan,0-20 M€,Amorçage (seed),nan,,,,,,,,,,,,,
01 juil. 2024,CML METROLOGIE,France |,Prestation de mesures 3D,7.20,2023.0,Produits & Services industriels,TRESCAL,FONDATEUR(S),0-20 M€,Build-up,0-20,,,,,,,,,,,,,
01 juil. 2024,WEKARE,France |,Medworker spécialisé dans la gestion et location de cabinets médicaux et paramédicaux,nan,nan,Immobilier & construction,CWM,nan,0-20 M€,Amorçage (seed),nan,,,,,,,,,,,,,
01 juil. 2024,CABINET JACQUES ROZENBAUM,France |,Cabinet d'expertise-comptable,nan,nan,Services & Conseil aux entreprises,KEROGO FINANCE (DONT KE...,FONDATEUR(S),0-20 M€,Build-up,0-20,,,,,,,,,,,,,
01 juil. 2024,QUIET,France |,Éditeur d’applications de photos et d'utilitaires,nan,nan,Logiciel et services informatiques,VARSITY,nan,20-50 M€,1er tour,nan,,,,,,,,,,,,,
01 juil. 2024,EDGEE,France |,Editeur d'une solution de création de logiciels de collecte des données basée sur le edge computing,nan,nan,Logiciel et services informatiques,SERENA CAPITAL,nan,0-20 M€,Amorçage (seed),nan,,,,,,,,,,,,,
01 juil. 2024,PONTHIER,France |,Préparations à base de fruits,75,2023.0,nan,nan,n.d.,n.d.,Refinancement,20-50,,,,,,,,,,,,,
01 juil. 2024,ACTIVITÉS FERROVIAIRES DE DE BONT...,Belgique |,Quatre sites de production de traverses en béton : deux sites en France (Montataire et Vers-Pont-du-Gard) et deux sites en Belgique (Laakdal et Baudour).,42,2022.0,Produits & Services industriels,SATEBA,DE BONTE GROUP,n.d.,Build-up international,n.d.,,,,,,,,,,,,,
01 juil. 2024,WATTECO,France |,Capteurs intelligents et systèmes de télécollecte de données IoT LPWA,6,2023.0,Electronique & Informatique,GROUPE ASGARD,n.d.,0-20 M€,M&A Corporate,n.d.,,,,,,,,,,,,,
01 juil. 2024,ALLIANCE SOFTWARE (ALLIBO.COM ET ...,Italie |,Éditeur de logiciels de recrutement : solution Allibo spécialisée dans la gestion de suivi des candidatures,1.50,2023.0,Logiciel et services informatiques,BEETWEEN,FONDATEUR(S),0-5 M€,M&A (Int'l),0-5,,,,,,,,,,,,,
01 juil. 2024,PALAMY,France |,Fabricant de film plastique,80,2023.0,Produits & Services industriels,TRIOWORLD,MANAGER(S),50-150 M€,Build-up international,n.d.,,,,,,,,,,,,,
01 juil. 2024,DIGITALINKERS,France |,Agence d'experts en data,3.50,2023.0,Logiciel et services informatiques,EQUANCY,MANAGER(S),n.d.,Build-up,nan,,,,,,,,,,,,,
01 juil. 2024,GLOBEDUCATE (NACE),Espagne |,Groupe d’écoles internationales de la maternelle au secondaire,440,2023.0,Services & Biens de consommation,WENDEL,PROVIDENCE EQUITY PARTNERS,2 000 M€,LBO Bis,nan,,,,,,,,,,,,,
01 juil. 2024,BRIGHTFLOW,France |,Conception d’un dispositif d’assistance ventriculaire droite percutanée de long terme.,nan,nan,Produits Pharmaceutiques & matériel médical,VIVES FUND (SOPARTEC),nan,20-50 M€,1er tour,nan,,,,,,,,,,,,,
01 juil. 2024,PLUSIEURS ACTIVITÉS DE PRODUCTION...,États-Unis |,Plusieurs activités de production de Spirit AeroSystems : notamment la production de sections de fuselage de l'A350 située à Kinston (Caroline du Nord) et à Saint-Nazaire (France),nan,nan,Automobile,GROUPE AIRBUS,SPIRIT AEROSYSTEMS,0-5 M€,M&A (Int'l),0-5,,,,,,,,,,,,,
01 juil. 2024,SBM (ENTREPRISE GÉNÉRALE DU BÂTIM...,France |,Entreprise générale du bâtiment,35,2023.0,Immobilier & construction,SENEVE CAPITAL (EX ARGO...,MANAGER(S),20-50 M€,MBO,n.d.,,,,,,,,,,,,,
01 juil. 2024,ALSTEF,France |,Systèmes automatisés manutention et stockage,220,2023.0,Produits & Services industriels,ARDIAN EXPANSION,FUTURE FRENCH CHAMPIONS...,315 M€,LBO Bis,n.d.,,,,,,,,,,,,,
01 juil. 2024,HR PATH,France |,Systèmes d'Information pour les ressources humaines,215,2024.0,Logiciel et services informatiques,ARDIAN EXPANSION,ANDERA PARTNERS,250-500 M€,LBO IV,150-250,,,,,,,,,,,,,
01 juil. 2024,CUREX,États-Unis |,Traitements personnalisés des allergies par immunothérapie,nan,nan,Produits Pharmaceutiques & matériel médical,LABEL CAPITAL,nan,20-50 M€,1er tour,0-20,,,,,,,,,,,,,
01 juil. 2024,ARIUS,États-Unis |,Activité d'édition d'un logiciel de reserving IARD,nan,nan,Logiciel et services informatiques,AKUR8,MILLIMAN,0-20 M€,M&A (Int'l),0-20,,,,,,,,,,,,,
01 juil. 2024,DOELEGAL,États-Unis |,Éditeur d'une suite logicielle pour les directions juridiques,nan,nan,Logiciel et services informatiques,DILITRUST,QUESTEL,0-20 M€,Build-up international,0-20,,,,,,,,,,,,,
01 juil. 2024,PURPLE ALTERNATIVE SURFACE,France |,Producteur de dalles de revêtement pour les parkings et voies douces à partir de déchets plastiques,nan,nan,Produits & Services industriels,SUEZ VENTURES (EX BLUE ...,nan,0-20 M€,1er tour,nan,,,,,,,,,,,,,
01 juil. 2024,ODERIS,France |,Conseil et accompagnement opérationnel,22,2023.0,nan,EMZ PARTNERS (EX EUROME...,FONDATEUR(S),50-150 M€,OBO,n.d.,,,,,,,,,,,,,
20 janv. 2025,THOMAS APICULTURE,France |,Fabrication et distribution de matériel apicole,11,2024.0,nan,FRENCHFOOD CAPITAL (FFC),MANAGER(S),0-20 M€,MBI,0-5,,,,,,,,,,,,,
17 janv. 2025,JV MOBILIZE/NW,France |,Co-entreprise dans le domaine de la recharge pour véhicules électriques pour réduire les coûts de la recharge pour les utilisateurs d’un véhicule électrique Renault,nan,nan,Electronique & Informatique,MOBILIZE,n.d.,n.d.,M&A (Joint Venture),n.d.,,,,,,,,,,,,,
16 janv. 2025,MOB-ENERGY INFRA,France |,Location de bornes de recharge,nan,nan,nan,TIKEHAU IM,n.d.,n.d.,Financement,nan,,,,,,,,,,,,,
