title,content,date
Acquisition : Apheon renforce son partenariat avec les prestataires de services TMC et Haudecoeur,"Apheon annonce la poursuite de son partenariat avec TMC et Haudecoeur, en transférant ses participations au capital des deux entreprises vers le fonds de continuation Apheon TMC HDC Long Term Value Fund, qui a levé 435 M€. Ce fonds prolongera l'horizon d'investissement et fournira des capitaux supplémentaires pour soutenir la croissance organique et les initiatives stratégiques des deux entreprises. TMC (c. 130 M€ de CA en 2021, Brabant-Septentrional / NLD), prestataire de services aux entreprises spécialisé dans les services de conseil fournis par un personnel technique hautement qualifié, et Haudecoeur (280 M€ de CA en 2024, Île-de-France / FRA), entreprise familiale spécialisée dans l'importation, la transformation et la distribution de produits alimentaires tels que le riz, les légumes secs, les fruits secs, les épices, les céréales et divers produits orientaux, bénéficient ainsi d'un soutien pour renforcer leur position sur le marché européen. Dans le cadre de la transaction, MML Capital Partners a investi dans TMC et LFPI dans Haudecœur, chacun en tant qu'actionnaire minoritaire (Apheon, communiqué de presse)",28/11/2024
Acquisition : Jolt Capital et La Banque des Territoires investissent dans Heraklio,"Jolt Capital et La Banque des Territoires investissent dans Heraklio (Île-de-France / FRA), entreprise de technologie énergétique qui développe et gère des solutions pour l'industrie hôtelière afin d'optimiser la consommation d'énergie, de réduire l'empreinte carbone et d'améliorer la durabilité environnementale. Avec le soutien de ses nouveaux investisseurs, Heraklio prévoit de déployer ses solutions dans plus de 1700 hôtels d'ici trois ans, améliorant ainsi la résilience et la durabilité du secteur de l'hôtellerie (Jolt Capital, communiqué de presse)",28/11/2024
Acquisition : UNEXO investit dans le fabricant et distributeur de vêtements Armor-lux,"Accompagné par Crédit Agricole du Finistère, UNEXO acquiert une participation minoritaire dans Armor-lux (119 M€ de CA en 2023, Bretagne / FRA), entreprise spécialisée dans la fabrication et la distribution de vêtements inspirés de l'univers marin, tels que la marinière, le caban et le pull marin, ainsi que des vêtements professionnels. Grâce à l'investissement d'UNEXO, Armor-lux vise à étendre son réseau de distribution, à renforcer sa présence sur le marché de l'habillement professionnel et à développer sa stratégie RSE, tout en préservant son expertise industrielle et son impact régional en Bretagne (UNEXO, communiqué de presse)",27/11/2024
Autre : ARCHIMED cède le contrôle du fabricant de dispositifs médicaux Ad-Tech Medical Instruments,"ARCHIMED annonce la cession à Nihon Kohden, de 71,4 % de sa participation dans Ad-Tech Medical Instrument (28 M$ de CA en 2021, Wisconsin / USA), fabricant de dispositifs médicaux de surveillance et de diagnostic utilisés dans le neurodiagnostic et la neurochirurgie. Dans le cadre de cette transaction, Nihon Kohden (221,9 MJPY de CA en 2024, Kanto / JPN), société spécialisée dans le développement et la distribution d'équipements médicaux électroniques utilisés dans la surveillance de haute précision des patients et le diagnostic médical, conclut une joint-venture avec ARCHIMED, permettant à ce dernier de conserver, via son fonds MED II, une participation de 28,6 % dans Ad-Tech. ARCHIMED annonce avoir réalisé 5x de retour sur investissement dans le cadre de cette vente (ARCHIMED, communiqué de presse)",27/11/2024
Acquisition : iXO Private Equity investit dans l'agence d'architecture Moon Safari,"iXO Private Equity annonce son investissement dans Moon Safari (8,8 M€ de CA en 2023, Auvergne-Rhône-Alpes / FRA), agence d'architecture et d'urbanisme qui se distingue par sa capacité à concevoir des projets variés, allant des bâtiments résidentiels aux espaces institutionnels, en mettant l'accent sur l'innovation et l'intégration dans le paysage urbain. Ce partenariat stratégique permettra à l'agence de bénéficier de l'expertise financière et managériale d'iXO Private Equity pour renforcer sa présence dans le secteur privé et élargir son maillage territorial (iXO Private Equity, communiqué de presse)",27/11/2024
Acquisition : La plateforme de gestion de patrimoine Range lève 28 M$,"Range (Virginie / USA), société de gestion de patrimoine en ligne qui propose des services de planification financière forfaitaires axés sur l'investissement, la fiscalité, la retraite et la planification successorale, ciblant spécifiquement les personnes à hauts revenus grâce à des planificateurs financiers agréés et à une plateforme numérique unifiée, lève 28 M$ dans le cadre d'un tour de table de série B dirigé par Cathay Innovation avec la participation de Gradient Ventures et d'autres investisseurs. Ce financement permettra à Range d'étendre sa plateforme de gestion de patrimoine pilotée par l'IA, d'améliorer sa technologie et de répondre à la demande croissante en offrant des services de planification financière plus rapides, abordables et complets aux clients fortunés (Cathay Capital, communiqué de presse)",27/11/2024
Cession : Syfadis acquiert le fournisseur de solutions d'e-learning Callimedia,"Syfadis (Bretagne / FRA), entreprise spécialisée dans les solutions d'e-learning et de formation professionnelle, annonce l’acquisition de Callimedia (3,5 M€ de CA en 2022, Occitanie / FRA), société qui propose des solutions de formation en ligne et d’outils d'e-learning. Cette acquisition renforcera l’offre de Syfadis en enrichissant son catalogue de formations et son expertise en création de contenus sur mesure. À noter que Callimedia était soutenue par plusieurs investisseurs, dont IRDI Capital Investissement (Syfadis, communiqué de presse)",27/11/2024
Build-up : EasyVista acquiert la société de logiciels OTRS,"Détenu majoritairement par Eurazeo et présent au portefeuille de Cathay Capital, Isatis Capital et Momentum Invest, EasyVista (44 M€ de CA en 2022, Île-de-France / FRA), éditeur de logiciels spécialisé dans les solutions SaaS conçues pour aider les entreprises à rationaliser les processus de gestion des services informatiques (ITSM) et de gestion des services d'entreprise (ESM), acquiert OTRS (Hesse / DEU), société de logiciels spécialisée dans la fourniture de solutions de gestion des services à la clientèle et des services informatiques, y compris des outils de gestion des tickets, d'automatisation et de création de rapports pour aider les organisations à améliorer leurs processus de services. En acquérant OTRS, EasyVista vise à étendre sa présence sur le marché allemand de l'ITSM, à stimuler sa croissance internationale et de créer des synergies en matière de revenus et de technologies pour atteindre ses objectifs de croissance à long terme (presse)",26/11/2024
Build-up : Cubik Partners acquiert le cabinet de conseil et de formation Operae Partners,"Soutenue par Sparring Capital, Cubik (c. 20 M€ de CA en 2023, Île-de-France / FRA), société de conseil et de formation spécialisée dans l'excellence opérationnelle, qui propose des ateliers, des formations et des services de conseil aux professionnels désireux d'améliorer les performances de leur entreprise en mettant un accent particulier sur le Lean Durable, acquiert Operae Partners (Île-de-France / FRA), société de conseil spécialisée dans l'accompagnement des entreprises pour l'amélioration de leurs performances à travers des méthodologies Lean et Agile. L'objectif de Sparring Capital et de Cubik est de poursuivre une stratégie de croissance externe ambitieuse afin de répondre aux besoins croissants des entreprises pour des solutions innovantes en matière d’amélioration continue des processus? (Sparring Capital, communiqué de presse)",26/11/2024
Build-up : Groupe Fauché acquiert le spécialiste des solutions d'automatismes industriels Fadilec,"Soutenu minoritairement par Multicroissance, Grand Sud-Ouest Capital, NMP et EMZ Partners, Groupe Fauché (c. 380 M€ en 2023, Occitanie / FRA), groupe spécialisé dans les installations générales électriques, courant fort, courants faible, maintenance multi-technique et automatismes industriels, de la phase de conception jusqu'aux opérations de maintenance et de dépannage, acquiert Fadilec (Occitanie / FRA), entreprise spécialisée dans les automatismes industriels et la robotique, offrant des solutions pour divers secteurs industriels. Cette acquisition s'inscrit dans une dynamique de diversification et d'innovation, permettant à Fauché d'élargir son portefeuille de services et de répondre à une demande croissante en solutions connectées et automatisées. En outre, en intégrant les équipes et le savoir-faire de Fadilec, Fauché vise à consolider sa position sur le marché et à offrir des solutions encore plus adaptées aux enjeux technologiques de ses clients (presse)",26/11/2024
